Entry	Entry name	Status	Protein names	Gene names	Organism	Length	Cross-reference (Pfam)
P38849	MTC6_YEAST	reviewed	Maintenance of telomere capping protein 6	MTC6 YHR151C	Saccharomyces cerevisiae (strain ATCC 204508 / S288c) (Baker's yeast)	526	
P07269	PHO2_YEAST	reviewed	Regulatory protein PHO2 (General regulatory factor 10)	PHO2 BAS2 GRF10 YDL106C D2350	Saccharomyces cerevisiae (strain ATCC 204508 / S288c) (Baker's yeast)	559	PF00046;
P19881	PNPP_YEAST	reviewed	4-nitrophenylphosphatase (PNPPase) (EC 3.1.3.41)	PHO13 YDL236W	Saccharomyces cerevisiae (strain ATCC 204508 / S288c) (Baker's yeast)	312	PF13344;
P0CX45	RL2A_YEAST	reviewed	60S ribosomal protein L2-A (L5) (Large ribosomal subunit protein uL2-A) (RP8) (YL6)	RPL2A RPL5B YFR031C-A YFR031BC	Saccharomyces cerevisiae (strain ATCC 204508 / S288c) (Baker's yeast)	254	PF00181;PF03947;
P0CX28	RL44B_YEAST	reviewed	60S ribosomal protein L42-B (L41) (Large ribosomal subunit protein eL42-B) (Maintenance of killer protein 18) (YL27) (YP44)	RPL42B MAK18 RPL41B SCL41B YHR141C	Saccharomyces cerevisiae (strain ATCC 204508 / S288c) (Baker's yeast)	106	PF00935;
P34087	RPB7_YEAST	reviewed	DNA-directed RNA polymerase II subunit RPB7 (RNA polymerase II subunit B7) (B16)	RPB7 YDR404C D9509.22	Saccharomyces cerevisiae (strain ATCC 204508 / S288c) (Baker's yeast)	171	PF00575;PF03876;
P40858	RN49_YEAST	reviewed	54S ribosomal protein L49, mitochondrial (Mitochondrial large ribosomal subunit protein bL21m) (YmL49)	MRPL49 YJL096W J0904	Saccharomyces cerevisiae (strain ATCC 204508 / S288c) (Baker's yeast)	161	PF00829;
Q12367	RKM5_YEAST	reviewed	Ribosomal lysine N-methyltransferase 5 (EC 2.1.1.-)	RKM5 YLR137W L3146	Saccharomyces cerevisiae (strain ATCC 204508 / S288c) (Baker's yeast)	367	
P54780	RL15B_YEAST	reviewed	60S ribosomal protein L15-B (L13) (Large ribosomal subunit protein eL15-B) (RP15R) (YL10) (YP18)	RPL15B RPL10B RPL13B YL10B YMR121C YM8564.03C	Saccharomyces cerevisiae (strain ATCC 204508 / S288c) (Baker's yeast)	204	PF00827;
P38717	SIP3_YEAST	reviewed	Membrane-anchored lipid-binding protein SIP3 (Lipid transfer protein anchored at membrane contact sites 3) (SNF1-interacting protein 3)	SIP3 LAM3 YNL257C N0844	Saccharomyces cerevisiae (strain ATCC 204508 / S288c) (Baker's yeast)	1229	PF00169;PF16016;
P32773	TOA1_YEAST	reviewed	Transcription initiation factor IIA large subunit (TFIIA large subunit) (TFIIA 32 kDa subunit)	TOA1 YOR194C	Saccharomyces cerevisiae (strain ATCC 204508 / S288c) (Baker's yeast)	286	PF03153;
P53840	TOF1_YEAST	reviewed	Topoisomerase 1-associated factor 1	TOF1 YNL273W N0636	Saccharomyces cerevisiae (strain ATCC 204508 / S288c) (Baker's yeast)	1238	PF04821;
P39735	SAW1_YEAST	reviewed	Single-strand annealing weakened protein 1	SAW1 YAL027W	Saccharomyces cerevisiae (strain ATCC 204508 / S288c) (Baker's yeast)	261	PF11561;
P39076	TCPB_YEAST	reviewed	T-complex protein 1 subunit beta (TCP-1-beta) (CCT-beta)	CCT2 BIN3 TCP2 YIL142W	Saccharomyces cerevisiae (strain ATCC 204508 / S288c) (Baker's yeast)	527	PF00118;
P02407	RS17A_YEAST	reviewed	40S ribosomal protein S17-A (RP51A) (Small ribosomal subunit protein eS17-A)	RPS17A RP51A YML024W	Saccharomyces cerevisiae (strain ATCC 204508 / S288c) (Baker's yeast)	136	PF00833;
P52492	UBC11_YEAST	reviewed	Ubiquitin-conjugating enzyme E2-18 kDa (EC 2.3.2.23) (E2 ubiquitin-conjugating enzyme 11) (Ubiquitin carrier protein) (Ubiquitin-protein ligase)	UBC11 YOR339C O6268	Saccharomyces cerevisiae (strain ATCC 204508 / S288c) (Baker's yeast)	156	PF00179;
P0CL37	YD545_YEAST	reviewed	Putative UPF0479 protein YDR545C-A	YDR545C-A	Saccharomyces cerevisiae (strain ATCC 204508 / S288c) (Baker's yeast)	159	
P36086	YKH1_YEAST	reviewed	Uncharacterized oxidoreductase YKL071W	YKL071W	Saccharomyces cerevisiae (strain ATCC 204508 / S288c) (Baker's yeast)	256	PF00106;
P40055	UTP7_YEAST	reviewed	U3 small nucleolar RNA-associated protein 7 (U3 snoRNA-associated protein 7) (U three protein 7)	UTP7 KRE31 YER082C	Saccharomyces cerevisiae (strain ATCC 204508 / S288c) (Baker's yeast)	554	PF08149;
A0A023PZH1	YE165_YEAST	reviewed	Putative uncharacterized membrane protein YER165C-A	YER165C-A	Saccharomyces cerevisiae (strain ATCC 204508 / S288c) (Baker's yeast)	118	
Q05863	YL281_YEAST	reviewed	Uncharacterized peptide chain release factor-like protein YLR281C, mitochondrial	YLR281C	Saccharomyces cerevisiae (strain ATCC 204508 / S288c) (Baker's yeast)	155	PF00472;
Q05899	YL297_YEAST	reviewed	Uncharacterized vacuolar protein YLR297W	YLR297W	Saccharomyces cerevisiae (strain ATCC 204508 / S288c) (Baker's yeast)	129	
Q08562	ULS1_YEAST	reviewed	ATP-dependent helicase ULS1 (EC 3.6.4.-) (Role in silencing protein 1) (Ubiquitin ligase for SUMO conjugates protein 1)	ULS1 DIS1 RIS1 TID4 YOR191W	Saccharomyces cerevisiae (strain ATCC 204508 / S288c) (Baker's yeast)	1619	PF00271;PF00176;
P40341	YTA12_YEAST	reviewed	Mitochondrial respiratory chain complexes assembly protein YTA12 (EC 3.4.24.-) (Tat-binding homolog 12)	YTA12 RCA1 YMR089C YM9582.14C	Saccharomyces cerevisiae (strain ATCC 204508 / S288c) (Baker's yeast)	825	PF00004;PF17862;PF06480;PF01434;
P53584	YTP1_YEAST	reviewed	Protein YTP1	YTP1 YNL237W N1129	Saccharomyces cerevisiae (strain ATCC 204508 / S288c) (Baker's yeast)	459	PF10355;
Q8TGS5	YM272_YEAST	reviewed	Uncharacterized protein YMR272W-B	YMR272W-B	Saccharomyces cerevisiae (strain ATCC 204508 / S288c) (Baker's yeast)	35	
Q04838	YM88_YEAST	reviewed	Uncharacterized protein YMR254C	YMR254C YM9920.08C	Saccharomyces cerevisiae (strain ATCC 204508 / S288c) (Baker's yeast)	102	
A0A023PZL7	YM294_YEAST	reviewed	Putative uncharacterized protein YMR294W-A	YMR294W-A	Saccharomyces cerevisiae (strain ATCC 204508 / S288c) (Baker's yeast)	119	
P53935	NST1_YEAST	reviewed	Stress response protein NST1 (Negatively-affecting salt tolerance protein 1)	NST1 YNL091W N2231	Saccharomyces cerevisiae (strain ATCC 204508 / S288c) (Baker's yeast)	1240	PF13945;
P32364	SMY1_YEAST	reviewed	Kinesin-related protein SMY1 (Suppressor protein SMY1)	SMY1 YKL079W YKL409	Saccharomyces cerevisiae (strain ATCC 204508 / S288c) (Baker's yeast)	656	PF00225;
P48232	SNAPN_YEAST	reviewed	Biogenesis of lysosome-related organelles complex 1 subunit SNN1 (BLOC-1 subunit SNN1) (SNAPIN-like protein 1)	SNN1 YNL086W N2254	Saccharomyces cerevisiae (strain ATCC 204508 / S288c) (Baker's yeast)	102	
Q12272	TPT1_YEAST	reviewed	tRNA 2'-phosphotransferase (EC 2.7.1.160)	TPT1 YOL102C HRE230	Saccharomyces cerevisiae (strain ATCC 204508 / S288c) (Baker's yeast)	230	PF01885;
P47052	SDHX_YEAST	reviewed	Succinate dehydrogenase [ubiquinone] flavoprotein subunit 2, mitochondrial (EC 1.3.5.1) (Flavoprotein subunit of complex II) (FP) (SDH1b)	YJL045W J1194	Saccharomyces cerevisiae (strain ATCC 204508 / S288c) (Baker's yeast)	634	PF00890;PF02910;
P39543	SOP4_YEAST	reviewed	Protein SOP4 (Suppressor of PMA1-7 protein 4)	SOP4 YJL192C J0351	Saccharomyces cerevisiae (strain ATCC 204508 / S288c) (Baker's yeast)	234	PF17081;
Q07953	SDO1_YEAST	reviewed	Ribosome maturation protein SDO1	SDO1 YLR022C	Saccharomyces cerevisiae (strain ATCC 204508 / S288c) (Baker's yeast)	250	PF01172;PF09377;
P53305	RT27_YEAST	reviewed	Mitochondrial 37S ribosomal protein S27 (Mitochondrial small ribosomal subunit protein mS33)	RSM27 YGR215W	Saccharomyces cerevisiae (strain ATCC 204508 / S288c) (Baker's yeast)	110	PF08293;
P16120	THRC_YEAST	reviewed	Threonine synthase (TS) (EC 4.2.3.1)	THR4 YCR053W YCR53W	Saccharomyces cerevisiae (strain ATCC 204508 / S288c) (Baker's yeast)	514	PF00291;PF14821;
P53172	SDS23_YEAST	reviewed	Protein SDS23	SDS23 YGL056C	Saccharomyces cerevisiae (strain ATCC 204508 / S288c) (Baker's yeast)	527	PF00571;
P07236	SYTM_YEAST	reviewed	Threonine--tRNA ligase, mitochondrial (EC 6.1.1.3) (Threonyl-tRNA synthetase) (ThrRS)	MST1 YKL194C	Saccharomyces cerevisiae (strain ATCC 204508 / S288c) (Baker's yeast)	462	PF03129;PF00587;
P06844	SPT3_YEAST	reviewed	Protein SPT3 (Positive regulator of Ty transcription)	SPT3 YDR392W D9509.12	Saccharomyces cerevisiae (strain ATCC 204508 / S288c) (Baker's yeast)	337	PF02269;
P18759	SEC18_YEAST	reviewed	Vesicular-fusion protein SEC18	SEC18 YBR080C YBR0736	Saccharomyces cerevisiae (strain ATCC 204508 / S288c) (Baker's yeast)	758	PF00004;PF17862;PF02933;PF02359;
P33332	SEC3_YEAST	reviewed	Exocyst complex component SEC3 (Protein PSL1)	SEC3 PSL1 YER008C	Saccharomyces cerevisiae (strain ATCC 204508 / S288c) (Baker's yeast)	1336	PF15277;PF09763;
P21825	SEC62_YEAST	reviewed	Translocation protein SEC62 (Sec62/63 complex 30 kDa subunit)	SEC62 YPL094C LPG14C	Saccharomyces cerevisiae (strain ATCC 204508 / S288c) (Baker's yeast)	274	PF03839;
P20134	SFL1_YEAST	reviewed	Flocculation suppression protein (Protein SFL1)	SFL1 YOR140W YOR3339W	Saccharomyces cerevisiae (strain ATCC 204508 / S288c) (Baker's yeast)	766	PF00447;
P25632	RSC6_YEAST	reviewed	Chromatin structure-remodeling complex protein RSC6 (Remodel the structure of chromatin complex subunit 6)	RSC6 YCR052W YCR52W	Saccharomyces cerevisiae (strain ATCC 204508 / S288c) (Baker's yeast)	483	
P37263	YC16_YEAST	reviewed	UPF0743 protein YCR087C-A	YCR087C-A YCRX16C	Saccharomyces cerevisiae (strain ATCC 204508 / S288c) (Baker's yeast)	153	PF08790;
Q2V2P1	YL146_YEAST	reviewed	Coiled-coil domain-containing protein YLR146W-A	YLR146W-A	Saccharomyces cerevisiae (strain ATCC 204508 / S288c) (Baker's yeast)	62	
A0A023PZK9	YL458_YEAST	reviewed	Putative uncharacterized membrane protein YLR458W	YLR458W	Saccharomyces cerevisiae (strain ATCC 204508 / S288c) (Baker's yeast)	126	
P43624	YFM6_YEAST	reviewed	Putative uncharacterized protein YFR056C	YFR056C	Saccharomyces cerevisiae (strain ATCC 204508 / S288c) (Baker's yeast)	122	
Q12151	UPC2_YEAST	reviewed	Sterol uptake control protein 2 (Mannoprotein regulation by oxygen protein 4)	UPC2 MOX4 YDR213W YD8142.14 YD8142B.05	Saccharomyces cerevisiae (strain ATCC 204508 / S288c) (Baker's yeast)	913	PF11951;PF00172;
Q12269	YG12B_YEAST	reviewed	Transposon Ty1-GR2 Gag-Pol polyprotein (Gag-Pol-p199) (TY1A-TY1B) (Transposon Ty1 TYA-TYB polyprotein) (p190) [Cleaved into: Capsid protein (CA) (Gag-p45) (p54); Ty1 protease (PR) (EC 3.4.23.-) (Pol-p20) (p23); Integrase (IN) (Pol-p71) (p84) (p90); Reverse transcriptase/ribonuclease H (RT) (RT-RH) (EC 2.7.7.49) (EC 2.7.7.7) (EC 3.1.26.4) (Pol-p63) (p60)]	TY1B-GR2 YGRCTy1-2 POL YGR038C-B G4126	Saccharomyces cerevisiae (strain ATCC 204508 / S288c) (Baker's yeast)	1755	PF00665;PF07727;PF01021;
P53211	YG1C_YEAST	reviewed	Uncharacterized protein YGR018C	YGR018C	Saccharomyces cerevisiae (strain ATCC 204508 / S288c) (Baker's yeast)	109	
Q3E744	YG161_YEAST	reviewed	Uncharacterized protein YGR161W-C	YGR161W-C	Saccharomyces cerevisiae (strain ATCC 204508 / S288c) (Baker's yeast)	92	
P53212	YG1D_YEAST	reviewed	Probable transcriptional regulatory protein HAH1	YGR021W	Saccharomyces cerevisiae (strain ATCC 204508 / S288c) (Baker's yeast)	290	PF01709;
Q12337	YG21B_YEAST	reviewed	Transposon Ty2-GR1 Gag-Pol polyprotein (TY2A-TY2B) (Transposon Ty2 TYA-TYB polyprotein) [Cleaved into: Capsid protein (CA); Ty2 protease (PR) (EC 3.4.23.-); Integrase (IN); Reverse transcriptase/ribonuclease H (RT) (RT-RH) (EC 2.7.7.49) (EC 2.7.7.7) (EC 3.1.26.4)]	TY2B-GR1 YGRCTy2-1 POL YGR038C-D/YGR038C-C	Saccharomyces cerevisiae (strain ATCC 204508 / S288c) (Baker's yeast)	1770	PF13976;PF00665;PF07727;PF01021;
Q05854	YL278_YEAST	reviewed	Uncharacterized transcriptional regulatory protein YLR278C	YLR278C L8003.10	Saccharomyces cerevisiae (strain ATCC 204508 / S288c) (Baker's yeast)	1341	PF04082;PF00172;
P53097	YGU3_YEAST	reviewed	Uncharacterized protein YGL193C	YGL193C G1334	Saccharomyces cerevisiae (strain ATCC 204508 / S288c) (Baker's yeast)	103	
A0A023PZI4	YH069_YEAST	reviewed	Putative uncharacterized membrane protein YHR069C-A	YHR069C-A	Saccharomyces cerevisiae (strain ATCC 204508 / S288c) (Baker's yeast)	120	
P39557	YAL7_YEAST	reviewed	Putative uncharacterized membrane protein YAR047C	YAR047C	Saccharomyces cerevisiae (strain ATCC 204508 / S288c) (Baker's yeast)	106	
Q8TGQ4	YB141_YEAST	reviewed	Putative uncharacterized protein YBR141W-A	YBR141W-A	Saccharomyces cerevisiae (strain ATCC 204508 / S288c) (Baker's yeast)	31	
Q8TGU8	YB071_YEAST	reviewed	Uncharacterized protein YBL071C-B	YBL071C-B	Saccharomyces cerevisiae (strain ATCC 204508 / S288c) (Baker's yeast)	32	
P0C5L5	YB191_YEAST	reviewed	Putative uncharacterized protein YBR191W-A	YBR191W-A	Saccharomyces cerevisiae (strain ATCC 204508 / S288c) (Baker's yeast)	24	
Q03886	YI20A_YEAST	reviewed	Putative uncharacterized protein YIR020W-A	YIR020W-A YIR020W-B	Saccharomyces cerevisiae (strain ATCC 204508 / S288c) (Baker's yeast)	80	
Q3E820	YB96A_YEAST	reviewed	Uncharacterized protein YBR196C-A	YBR196C-A	Saccharomyces cerevisiae (strain ATCC 204508 / S288c) (Baker's yeast)	49	
A0A023PYI5	YI036_YEAST	reviewed	Putative uncharacterized membrane protein YIR036W-A	YIR036W-A	Saccharomyces cerevisiae (strain ATCC 204508 / S288c) (Baker's yeast)	133	
P53044	UFD1_YEAST	reviewed	Ubiquitin fusion degradation protein 1 (UB fusion protein 1) (Polymerase-interacting protein 3)	UFD1 PIP3 YGR048W	Saccharomyces cerevisiae (strain ATCC 204508 / S288c) (Baker's yeast)	361	PF03152;
Q3E790	TSC3_YEAST	reviewed	Serine palmitoyltransferase-regulating protein TSC3 (Temperature-sensitive CSG2-mutant suppressor protein 3)	TSC3 YBR058C-A	Saccharomyces cerevisiae (strain ATCC 204508 / S288c) (Baker's yeast)	80	
P53735	ZRG17_YEAST	reviewed	Protein ZRG17 (Zinc-regulated gene 17 protein)	ZRG17 YNR039C N3403	Saccharomyces cerevisiae (strain ATCC 204508 / S288c) (Baker's yeast)	605	
P0C5Q6	YM94A_YEAST	reviewed	Putative uncharacterized protein YMR194C-A	YMR194C-A	Saccharomyces cerevisiae (strain ATCC 204508 / S288c) (Baker's yeast)	74	
P10566	MRS3_YEAST	reviewed	Mitochondrial RNA-splicing protein MRS3	MRS3 YJL133W J0675	Saccharomyces cerevisiae (strain ATCC 204508 / S288c) (Baker's yeast)	314	PF00153;
P23287	PP2B1_YEAST	reviewed	Serine/threonine-protein phosphatase 2B catalytic subunit A1 (EC 3.1.3.16) (Calcineurin A1) (Calmodulin-binding protein 1)	CNA1 CMP1 YLR433C L9753.6	Saccharomyces cerevisiae (strain ATCC 204508 / S288c) (Baker's yeast)	553	PF00149;
Q00246	RHO4_YEAST	reviewed	GTP-binding protein RHO4	RHO4 YKR055W	Saccharomyces cerevisiae (strain ATCC 204508 / S288c) (Baker's yeast)	291	PF00071;
P0CX27	RL44A_YEAST	reviewed	60S ribosomal protein L42-A (L41) (Large ribosomal subunit protein eL42-A) (YL27) (YP44)	RPL42A RPL41A SCL41A YNL162W N1722	Saccharomyces cerevisiae (strain ATCC 204508 / S288c) (Baker's yeast)	106	PF00935;
P20436	RPAB3_YEAST	reviewed	DNA-directed RNA polymerases I, II, and III subunit RPABC3 (RNA polymerases I, II, and III subunit ABC3) (ABC14.4) (ABC14.5) (DNA-directed RNA polymerases I, II, and III 14.5 kDa polypeptide)	RPB8 YOR224C YOR50-14	Saccharomyces cerevisiae (strain ATCC 204508 / S288c) (Baker's yeast)	146	PF03870;
P05739	RL6B_YEAST	reviewed	60S ribosomal protein L6-B (L17) (Large ribosomal subunit protein eL6-B) (RP18) (YL16)	RPL6B RPL16B RPL17B YL16B YLR448W L9324.4	Saccharomyces cerevisiae (strain ATCC 204508 / S288c) (Baker's yeast)	176	PF01159;
P34230	PXA2_YEAST	reviewed	Peroxisomal long-chain fatty acid import protein 1 (Peroxisomal ABC transporter 2)	PXA2 PAT1 YKL188C YKL741	Saccharomyces cerevisiae (strain ATCC 204508 / S288c) (Baker's yeast)	853	PF06472;PF00005;
P26755	RFA3_YEAST	reviewed	Replication factor A protein 3 (RF-A) (Replication protein A 13 kDa subunit)	RFA3 YJL173C J0506	Saccharomyces cerevisiae (strain ATCC 204508 / S288c) (Baker's yeast)	122	PF08661;
P38009	PUR92_YEAST	reviewed	Bifunctional purine biosynthesis protein ADE17 [Includes: Phosphoribosylaminoimidazolecarboxamide formyltransferase (EC 2.1.2.3) (5-aminoimidazole-4-carboxamide ribonucleotide formyltransferase) (AICAR transformylase); IMP cyclohydrolase (EC 3.5.4.10) (ATIC) (IMP synthase) (Inosinicase)]	ADE17 YMR120C YM8564.02C	Saccharomyces cerevisiae (strain ATCC 204508 / S288c) (Baker's yeast)	592	PF01808;PF02142;
Q12194	RGL1_YEAST	reviewed	RHO1 GEF localizing protein 1	RGL1 YPL066W LPE4W	Saccharomyces cerevisiae (strain ATCC 204508 / S288c) (Baker's yeast)	479	
Q9ZZW2	Q0144_YEAST	reviewed	Putative uncharacterized protein Q0144, mitochondrial	Q0144	Saccharomyces cerevisiae (strain ATCC 204508 / S288c) (Baker's yeast)	109	
Q9ZZV8	Q0297_YEAST	reviewed	Putative uncharacterized protein Q0297, mitochondrial	Q0297 ORF12	Saccharomyces cerevisiae (strain ATCC 204508 / S288c) (Baker's yeast)	51	
Q9ZZX8	Q0017_YEAST	reviewed	Putative uncharacterized protein Q0017, mitochondrial	Q0017 ORF7	Saccharomyces cerevisiae (strain ATCC 204508 / S288c) (Baker's yeast)	53	
P16664	RGP1_YEAST	reviewed	Guanine nucleotide exchange factor subunit RGP1 (Reduced growth phenotype protein 1) (Rgp1p)	RGP1 YDR137W YD9302.13	Saccharomyces cerevisiae (strain ATCC 204508 / S288c) (Baker's yeast)	663	PF08737;
Q12461	PTPA2_YEAST	reviewed	Serine/threonine-protein phosphatase 2A activator 2 (EC 5.2.1.8) (Peptidyl-prolyl cis-trans isomerase PTPA-2) (PPIase PTPA-2) (Rotamase PTPA-2) (Phosphotyrosyl phosphatase activator 2)	RRD2 NOH1 YPA2 YPL152W	Saccharomyces cerevisiae (strain ATCC 204508 / S288c) (Baker's yeast)	358	PF03095;
P40342	SWM2_YEAST	reviewed	Nucleolar protein SWM2 (Synthetic With MUD2-delta protein 2)	SWM2 YNR004W N2033	Saccharomyces cerevisiae (strain ATCC 204508 / S288c) (Baker's yeast)	146	PF17083;
Q04629	SWF1_YEAST	reviewed	Palmitoyltransferase SWF1 (EC 2.3.1.225) (Spore wall formation protein 1)	SWF1 PSL10 YDR126W YD9302.01 YD9727.21	Saccharomyces cerevisiae (strain ATCC 204508 / S288c) (Baker's yeast)	336	PF01529;
Q12052	TGS1_YEAST	reviewed	Trimethylguanosine synthase (EC 2.1.1.-) (Cap-specific guanine-N2 methyltransferase) (snRNA/snoRNA cap hypermethylase)	TGS1 YPL157W P2573	Saccharomyces cerevisiae (strain ATCC 204508 / S288c) (Baker's yeast)	315	PF09445;
P54000	SUB1_YEAST	reviewed	RNA polymerase II transcriptional coactivator SUB1	SUB1 TSP1 YMR039C YM9532.04C	Saccharomyces cerevisiae (strain ATCC 204508 / S288c) (Baker's yeast)	292	PF02229;
Q3E792	RS25A_YEAST	reviewed	40S ribosomal protein S25-A (RP45) (S31) (Small ribosomal subunit protein eS25-A) (YS23)	RPS25A RPS31A YGR027C	Saccharomyces cerevisiae (strain ATCC 204508 / S288c) (Baker's yeast)	108	PF03297;
P53378	TBG_YEAST	reviewed	Tubulin gamma chain (Gamma-tubulin)	TUB4 YLR212C L8167.21	Saccharomyces cerevisiae (strain ATCC 204508 / S288c) (Baker's yeast)	473	PF00091;PF03953;
Q3E7X8	YE077_YEAST	reviewed	Y' element ATP-dependent helicase YEL077C (EC 3.6.4.12)	YEL077C	Saccharomyces cerevisiae (strain ATCC 204508 / S288c) (Baker's yeast)	1277	PF00271;
Q3E7A2	YE078_YEAST	reviewed	Uncharacterized protein YER078W-A	YER078W-A	Saccharomyces cerevisiae (strain ATCC 204508 / S288c) (Baker's yeast)	54	
A0A023PZG0	YE084_YEAST	reviewed	Putative uncharacterized membrane protein YER084W-A	YER084W-A	Saccharomyces cerevisiae (strain ATCC 204508 / S288c) (Baker's yeast)	170	
P41835	THI6_YEAST	reviewed	Thiamine biosynthetic bifunctional enzyme [Includes: Thiamine-phosphate synthase (TP synthase) (TPS) (EC 2.5.1.3) (Thiamine-phosphate pyrophosphorylase) (TMP pyrophosphorylase) (TMP-PPase); Hydroxyethylthiazole kinase (EC 2.7.1.50) (4-methyl-5-beta-hydroxyethylthiazole kinase) (TH kinase) (THZ kinase)]	THI6 YPL214C	Saccharomyces cerevisiae (strain ATCC 204508 / S288c) (Baker's yeast)	540	PF02110;PF02581;
P40413	TCPE_YEAST	reviewed	T-complex protein 1 subunit epsilon (TCP-1-epsilon) (CCT-epsilon)	CCT5 TCP5 YJR064W J1752	Saccharomyces cerevisiae (strain ATCC 204508 / S288c) (Baker's yeast)	562	PF00118;
Q96VG5	YC102_YEAST	reviewed	Putative uncharacterized protein YCR102W-A	YCR102W-A	Saccharomyces cerevisiae (strain ATCC 204508 / S288c) (Baker's yeast)	65	PF00674;
Q8TGQ1	YC047_YEAST	reviewed	Putative uncharacterized protein YCR047W-A	YCR047W-A	Saccharomyces cerevisiae (strain ATCC 204508 / S288c) (Baker's yeast)	68	
P42945	UTP10_YEAST	reviewed	U3 small nucleolar RNA-associated protein 10 (U3 snoRNA-associated protein 10) (U three protein 10) (U3 protein 10 required for transcription) (t-UTP10)	UTP10 YJL109C J0808	Saccharomyces cerevisiae (strain ATCC 204508 / S288c) (Baker's yeast)	1769	PF08146;PF12397;
P40544	YKE4_YEAST	reviewed	Zinc transporter YKE4	YKE4 YIL023C	Saccharomyces cerevisiae (strain ATCC 204508 / S288c) (Baker's yeast)	346	PF02535;
P36114	YKR18_YEAST	reviewed	IML2-like protein YKR018C	YKR018C	Saccharomyces cerevisiae (strain ATCC 204508 / S288c) (Baker's yeast)	725	PF10300;
P21373	UTR1_YEAST	reviewed	NAD(+) kinase (EC 2.7.1.23) (Unknown transcript 1 protein)	UTR1 YJR049C J1655	Saccharomyces cerevisiae (strain ATCC 204508 / S288c) (Baker's yeast)	530	PF01513;
P0C5M6	YE020_YEAST	reviewed	Putative uncharacterized protein YEL020C-B	YEL020C-B smORF171	Saccharomyces cerevisiae (strain ATCC 204508 / S288c) (Baker's yeast)	65	
P39994	YEC0_YEAST	reviewed	Putative 2-hydroxyacyl-CoA lyase (EC 4.1.-.-)	YEL020C	Saccharomyces cerevisiae (strain ATCC 204508 / S288c) (Baker's yeast)	560	PF02775;PF00205;PF02776;
O13544	YL302_YEAST	reviewed	Uncharacterized protein YLR302C	YLR302C	Saccharomyces cerevisiae (strain ATCC 204508 / S288c) (Baker's yeast)	120	
P0CL34	YH219_YEAST	reviewed	Putative UPF0479 protein YHR219C-A	YHR219C-A	Saccharomyces cerevisiae (strain ATCC 204508 / S288c) (Baker's yeast)	160	
Q05451	YH50_YEAST	reviewed	Putative uncharacterized protein YHR050W-A	YHR050W-A	Saccharomyces cerevisiae (strain ATCC 204508 / S288c) (Baker's yeast)	56	
P35200	UPS2_YEAST	reviewed	Protein UPS2, mitochondrial (Altered inheritance rate of mitochondrion protein 30) (Genetic interactor of prohibitins protein 1) (Unprocessed MGM1 protein 2)	UPS2 AIM30 GEP1 MSF1 YLR168C L9470.15	Saccharomyces cerevisiae (strain ATCC 204508 / S288c) (Baker's yeast)	230	PF04707;
P39547	UIP3_YEAST	reviewed	ULP1-interacting protein 3 (DUP240 protein UIP3)	UIP3 YAR027W FUN55	Saccharomyces cerevisiae (strain ATCC 204508 / S288c) (Baker's yeast)	235	PF00674;
P42844	ZIM17_YEAST	reviewed	Mitochondrial protein import protein ZIM17 (Mitochondrial import inner membrane translocase subunit TIM15) (mtHsp70 escort protein 1) (mtHsp70-associated motor and chaperone protein TIM15/ZIM17) (MMC)	ZIM17 FMP28 HEP1 TIM15 YNL310C N0381	Saccharomyces cerevisiae (strain ATCC 204508 / S288c) (Baker's yeast)	174	PF05180;
P23493	MBR1_YEAST	reviewed	Mitochondrial biogenesis regulation protein 1	MBR1 YKL093W YKL440	Saccharomyces cerevisiae (strain ATCC 204508 / S288c) (Baker's yeast)	339	PF17058;
Q06567	MCP2_YEAST	reviewed	ABC1 family protein MCP2 (MDM10-complementing protein 2) (MIOREX complex component 13) (Mitochondrial organization of gene expression protein 13)	MCP2 MRX13 YLR253W L9672.2	Saccharomyces cerevisiae (strain ATCC 204508 / S288c) (Baker's yeast)	569	PF03109;
P32581	IME2_YEAST	reviewed	Meiosis induction protein kinase IME2/SME1 (EC 2.7.11.1)	IME2 SME1 YJL106W J0817	Saccharomyces cerevisiae (strain ATCC 204508 / S288c) (Baker's yeast)	645	PF00069;
P25369	LSB5_YEAST	reviewed	LAS seventeen-binding protein 5 (LAS17-binding protein 5)	LSB5 YCL034W YCL186 YCL34W	Saccharomyces cerevisiae (strain ATCC 204508 / S288c) (Baker's yeast)	354	
P00817	IPYR_YEAST	reviewed	Inorganic pyrophosphatase (EC 3.6.1.1) (Pyrophosphate phospho-hydrolase) (PPase)	IPP1 PPA PPA1 YBR011C YBR0202	Saccharomyces cerevisiae (strain ATCC 204508 / S288c) (Baker's yeast)	287	PF00719;
P32452	PHA2_YEAST	reviewed	Putative prephenate dehydratase (PDT) (EC 4.2.1.51) (Phenylalanine-requiring protein 2)	PHA2 YNL316C N0351	Saccharomyces cerevisiae (strain ATCC 204508 / S288c) (Baker's yeast)	334	PF00800;
P53124	PCL10_YEAST	reviewed	PHO85 cyclin-10	PCL10 YGL134W G2838	Saccharomyces cerevisiae (strain ATCC 204508 / S288c) (Baker's yeast)	433	PF08613;
Q08471	MSA1_YEAST	reviewed	G1-specific transcription factors activator MSA1 (MBF and SBF-associated protein 1)	MSA1 YOR066W YOR29-17	Saccharomyces cerevisiae (strain ATCC 204508 / S288c) (Baker's yeast)	629	
